"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Tokio Marine Holdings Inc","30.75B","12.64","118.03B","52.36K","3.70","0.60","2.05","7.34%"
"Astellas Pharma Inc","30.67B","-","-","104.14K","-","-","-","-"
"Central Japan Railway Co","30.57B","-","-","105.08K","-","-","-","-"
"Digital","30.48B","63.62","3.21B","3.89M","2.35","0.23","4.48","3.00%"
"Longfor Properties ADR","30.33B","-","-","7.63K","-","-","1.51","-"
"Citic ADR","30.28B","-","-","7.87K","-","-","0.28","-"
"MercadoLibre","30.24B","-","2.30B","764.37K","-3.44","1.55","-","0.10%"
"HK & China Gas","30.22B","-","893.82M","22.80K","-","-","-","1.82%"
"Hong Kong & China Gas Co","30.22B","32.40","893.82M","239.40K","0.05","0.57","0.05","2.61%"
"Wesfarmers ADR","30.13B","-","-","73.13K","-","-","0.49","-"
"First Data Corp","29.98B","30.40","4.80B","49.01M","1.04","1.95","-","-"
"Capital One Financial Corp Pd ADR","29.97B","-","-","427.67K","-","-","1.68","-"
"Capital One Financial Corp Pp ADR","29.97B","-","-","119.20K","-","-","1.50","-"
"Capital One Financial Corp Pc ADR","29.97B","-","-","411.35K","-","-","1.56","-"
"Capital One Financial Corp Pf ADR","29.97B","-","-","88.14K","-","-","1.55","-"
"Constellation Brands B","29.95B","-","8.34B","1.00K","-0.10","0.92","2.72","1.82%"
"General Motors","29.94B","4.87","137.24B","17.73M","4.57","1.39","1.52","4.42%"
"Lululemon Athletica","29.79B","45.32","3.98B","2.19M","4.93","0.96","-","-"
"Capital One Financial G","29.66B","-","-","77.17K","-","-","1.30","-"
"Capital One Financial H","29.66B","-","-","67.09K","-","-","1.50","-"
"Dell Tech","29.60B","6.95","92.15B","3.47M","6.15","0.75","-","-"
"National Australia Bank","29.44B","-","695.49M","22.97K","-","-","-","6.55%"
"National Australia Bank ADR","29.44B","15.16","695.49M","354.83K","0.36","1.01","0.38","6.99%"
"Woolworths ADR","29.39B","-","-","0.00","-","-","-","-"
"Itochu ADR","29.37B","-","-","28.72K","-","-","-","-"
"China Resources Land ADR","29.19B","-","-","416.00","-","-","1.61","-"
"Brown Forman","29.16B","35.87","3.40B","1.24M","1.73","0.75","0.70","1.12%"
"Banco Bradesco","29.07B","8.61","-","21.96M","0.41","1.04","0.46","13.07%"
"Phillips 66","29.05B","10.63","107.44B","4.78M","6.88","1.60","3.60","4.92%"
"Tesco","28.93B","-","-","17.86K","-","-","-","3.89%"
"ANZ Banking Group","28.93B","-","777.44M","13.79K","-","-","-","5.88%"
"Tesco PLC","28.93B","17.67","1.41B","559.86K","0.51","0.60","0.29","2.92%"
"AU & NZ Banking Group","28.93B","10.56","777.44M","238.19K","1.03","1.15","1.12","10.15%"
"Mizuho Financial ADR","28.76B","5.51","-","1.26M","0.42","0.92","0.14","5.90%"
"Intesa Sanpaolo SpA PK","28.76B","-","-","317.96K","-","-","1.32","-"
"Square Inc","28.73B","107.18","4.71B","15.45M","0.61","2.59","-","-"
"Truist Financial Pref F","28.73B","-","-","38.06K","-","-","1.30","-"
"Truist Financial","28.73B","-","-","40.84K","-","-","1.30","-"
"Truist Financial Pref H","28.66B","-","-","58.00K","-","-","1.41","-"
"LM Ericsson B","28.56B","-","5.02B","75.30K","-","-","-","1.11%"
"LM Ericsson B ADR","28.56B","133.00","5.02B","8.74M","0.06","0.36","0.07","0.88%"
"CK Hutchison ADR","28.50B","-","-","334.63K","-","-","0.41","-"
"Deutsche Boerse ADR","28.47B","-","-","225.67K","-","-","0.30","-"
"Chunghwa Telecom","28.41B","25.95","4.57B","158.90K","1.42","0.08","1.42","3.87%"
"Deutsche Boerse ADR","28.41B","-","-","0.00","-","-","-","-"
"Discovery B","28.37B","7.78","13.85B","6.47K","2.88","1.55","-","-"
"Seven & i Holdings","28.37B","-","-","1.45K","-","-","-","2.18%"
"Seven i ADR","28.37B","-","-","112.03K","-","-","-","-"
"Hecla Mining Co Pref","28.26B","-","673.26M","539.00","-0.21","1.87","3.50","0.36%"
"Overseas Chinese Banking ADR","28.21B","-","-","84.25K","-","-","1.10","-"
