"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Simpson Manufacturing","3.13B","21.78","1.16B","377.70K","3.31","1.34","0.92","1.28%"
"Community Bank System","3.13B","-","312.91M","307.27K","-","0.80","1.64","2.62%"
"Spirit Realty Pref","3.13B","-","-","25.69K","-","-","1.50","-"
"Huami","3.13B","9.91","145.46M","416.68K","1.26","-","-","-"
"Unifirst","3.13B","18.26","1.86B","113.39K","9.21","0.88","1.00","0.59%"
"Enstar Pref D","3.12B","-","-","43.64K","-","-","1.75","-"
"Genting Malaysia ADR","3.12B","-","-","200.00","-","-","1.18","-"
"Grupo Televisa ADR","3.12B","15.79","2.23B","1.61M","0.34","1.10","0.18","3.30%"
"Envista Holdings","3.12B","13.34","2.75B","3.40M","1.47","-","-","-"
"FibroGen Inc","3.12B","-","256.57M","689.96K","-0.97","1.52","-","-"
"PNM Resources","3.11B","74.76","1.44B","732.37K","0.54","0.58","1.23","3.04%"
"Harley-Davidson","3.11B","9.41","5.28B","3.23M","2.32","1.45","0.08","0.37%"
"Weir Group PLC","3.11B","-","-","54.46K","-","-","0.30","-"
"Grocery Outlet","3.11B","210.16","2.56B","1.48M","0.16","-","-","-"
"Axfood ADR","3.11B","-","-","400.00","-","-","0.37","-"
"GW Pharma ADR","3.11B","-","311.34M","532.82K","-0.34","1.87","-","-"
"Texas Roadhouse","3.11B","19.17","2.76B","1.80M","2.46","0.90","1.44","3.06%"
"MOGU","3.10B","-","20.55M","56.09K","-5.32","-","-","-"
"Blackstone Mortgage","3.10B","17.52","882.68M","2.75M","1.34","1.31","2.48","10.54%"
"Appian","3.10B","-","260.35M","1.17M","-0.78","-","-","-"
"UNB","3.10B","96.73","-","302.00","1.45","-","0.50","1.79%"
"Hang Lung ADR","3.09B","-","-","3.08K","-","-","0.29","-"
"Total Access Com ADR","3.08B","-","-","1.91K","-","-","0.45","-"
"Beijing Capital Airport ADR","3.08B","-","-","10.93K","-","-","0.18","-"
"Ares Management Pref A","3.07B","35.96","2.24B","43.26K","0.98","1.31","1.75","3.88%"
"Glanbia ADR","3.07B","-","-","234.00","-","-","2.26","-"
"Nihon Kohden ADR","3.07B","-","-","2.96K","-","-","-","-"
"Affiliated Managers","3.07B","17.68","2.20B","744.71K","3.96","1.58","0.04","0.06%"
"ACI Worldwide","3.07B","48.92","1.26B","939.39K","0.56","1.34","-","-"
"Investec ADR","3.06B","-","-","4.02K","-","-","0.62","-"
"Omnicell","3.06B","51.23","897.03M","316.73K","1.42","1.05","-","-"
"Rexnord","3.05B","-","-","983.53K","-","-","2.88","-"
"NGK Spark Plug ADR","3.05B","-","-","6.00K","-","-","-","-"
"Bitcoin Invest","3.05B","0.61","-","5.22M","13.84","1.07","-","-"
"Medallia","3.05B","-","402.46M","1.76M","-0.86","-","-","-"
"NuVasive","3.05B","49.97","1.17B","1.13M","1.22","1.42","-","-"
"Nexstar","3.05B","14.59","3.04B","844.34K","4.80","1.83","2.24","3.20%"
"WR Grace&Co","3.04B","21.98","1.91B","758.88K","2.15","1.50","1.20","2.54%"
"Crispr Therapeutics","3.04B","68.93","289.43M","1.00M","0.75","2.29","-","-"
"Bolsas Mercados Espanoles ADR","3.04B","-","-","712.00","-","-","0.88","-"
"Enstar","3.04B","3.48","2.57B","58.69K","41.55","0.54","-","-"
"SLM","3.04B","4.58","2.58B","4.96M","1.82","1.47","0.12","1.44%"
"Industrias Penoles","3.04B","-","-","4.97K","-","-","-","6.30%"
"ManTech","3.03B","28.08","2.22B","248.74K","2.66","0.74","1.28","1.72%"
"WPX Energy","3.03B","10.12","2.29B","14.39M","0.61","3.66","-","-"
"Toll Brothers","3.03B","6.51","7.19B","3.29M","3.69","1.55","0.44","1.83%"
"RBC Bearings","3.02B","25.46","723.78M","162.16K","4.97","1.22","-","-"
"Sanderson Farms","3.02B","93.75","4.26B","482.89K","1.45","0.67","1.28","0.94%"
"OneMain Holdings","3.02B","4.49","4.91B","1.55M","5.39","2.46","1.32","5.45%"
"White Mountains Insurance","3.02B","7.47","893.40M","20.77K","130.25","0.54","1.00","0.10%"
